book_code,book_title,book_author,book_publisher,book_borrow,book_lang,book_type,book_year
1,된다! 엑셀 수식 & 함수,정태호,이지스퍼블리싱,0,kor,book,2010
2,바빠 초등 영문법 - 5 6학년용 세트,E&E 영어 연구소 이정선,이지스에듀,0,kor,book,2011
3,Do it! 첫 알고리즘,마츠우라 켄이치로_ 츠카사 유키,이지스퍼블리싱,0,kor,book,2012
4,바빠 초등 영문법 - 5 6학년용 3,E&E 영어 연구소 이정선,이지스에듀,0,kor,book,2013
5,바빠 초등 속담+따라 쓰기,분당 영재사랑 교육연구소 호사라 지음,이지스에듀,0,kor,book,2014
6,Do it! 깡샘의 플러터 & 다트 프로그래밍,강성윤,이지스퍼블리싱,0,kor,book,2015
7,일 잘하는 디자이너,시부야 료이치,이지스퍼블리싱,0,kor,ebook,2017
8,바빠 초등 사자성어+따라 쓰기,분당 영재사랑 교육연구소 호사라 지음,이지스에듀,0,kor,book,2010
9,된다! 7일 프리미어 프로 유튜브 영상 편집,김예지,이지스퍼블리싱,0,kor,ebook,2011
10,된다! 김메주의 유튜브 영상 만들기 - 개정 2판,김혜주,이지스퍼블리싱,0,kor,ebook,2018
11,일 잘하는 디자이너,시부야 료이치,이지스퍼블리싱,0,kor,book,2019
12,Do it! 스위프트로 아이폰 앱 만들기 입문 - 개정 7판,송호정 / 이범근,이지스퍼블리싱,0,kor,book,2023
13,Do it! 프로덕트 디자인 입문 with 피그마,이상효,이지스퍼블리싱,0,kor,book,2022
14,된다! 아이패드 하루 24시간,홍정희(톡써니),이지스퍼블리싱,0,kor,ebook,2019
15,Do it! 리액트 모던 웹 개발 with 타입스크립트,전예홍,이지스퍼블리싱,0,kor,book,2018
16,된다! 아이패드 하루 24시간,홍정희(톡써니),이지스퍼블리싱,0,kor,book,2016
17,Do it! 알고리즘 코딩 테스트 - C++ 편,김종관,이지스퍼블리싱,0,kor,book,2010
18,된다! 맥북&아이맥 - 맥OS 벤투라 판,김기백_ 조영빈_ 이민호_ 정다운,이지스퍼블리싱,0,kor,ebook,2011
19,된다! 맥북&아이맥 - 맥OS 벤투라 판,김기백_ 조영빈_ 이민호_ 정다운,이지스퍼블리싱,0,kor,book,2012
20,Do it! 게임 10개 만들며 배우는 파이썬,벤 포터_ 쉬무엘 포터,이지스퍼블리싱,0,kor,ebook,2013
21,Do it! 게임 10개 만들며 배우는 파이썬,벤 포터_ 쉬무엘 포터,이지스퍼블리싱,0,kor,book,2014
22,Do it! 깡샘의 안드로이드 앱 프로그래밍 with 코틀린 ? 개정 2판,강성윤,이지스퍼블리싱,0,kor,book,2015
23,Do it! 모던 자바스크립트 프로그래밍의 정석,고경희,이지스퍼블리싱,0,kor,book,2017
24,포토샵 보정&합성 디자인 사전,쿠스다 사토시,이지스퍼블리싱,0,kor,ebook,2010
25,바빠 초등 필수 영단어,윤미영,이지스에듀,0,kor,ebook,2011
26,포토샵 보정&합성 디자인 사전,쿠스다 사토시,이지스퍼블리싱,0,kor,book,2018
27,Do it! C# 프로그래밍 입문,박필준,이지스퍼블리싱,0,kor,ebook,2019
28,바빠 초등 필수 영단어,윤미영,이지스에듀,0,kor,book,2010
29,Do it! C# 프로그래밍 입문,박필준,이지스퍼블리싱,0,kor,book,2011
30,7살 첫 영어 - 파닉스,비비쌤(이지희),이지스에듀,0,kor,book,2012
31,Do it! 자료구조와 함께 배우는 알고리즘 입문 - C 언어 편 [전면 개정판],시바타 보요,이지스퍼블리싱,0,kor,book,2013
32,된다! 실무 엑셀 파워포인트 워드&한글,한정희_ 이충욱,이지스퍼블리싱,0,kor,book,2014
33,Do it! 지옥에서 온 문서 관리자 깃&깃허브 입문[전면 개정판],고경희_ 이고잉,이지스퍼블리싱,0,kor,book,2015
34,IT 5분 잡학사전,니꼴라스_ 배지현,이지스퍼블리싱,0,kor,book,2017
35,바쁜 초등학생을 위한 빠른 비와 비례,징검다리 교육연구소_ 김정은,이지스에듀,0,kor,book,2010
36,된다! 포토샵 디자인 수업,강아윤,이지스퍼블리싱,0,kor,ebook,2011
37,된다! 포토샵 디자인 수업,강아윤,이지스퍼블리싱,0,kor,book,2018
38,Do it! 알고리즘 코딩 테스트 - 파이썬 편,김종관,이지스퍼블리싱,0,kor,ebook,2019
39,된다! 뚝딱뚝딱 내 컴퓨터 문제 해결,김승연,이지스퍼블리싱,0,kor,ebook,2023
40,된다! 뚝딱뚝딱 내 컴퓨터 문제 해결,김승연,이지스퍼블리싱,0,kor,book,2010
41,Do it! 알고리즘 코딩 테스트 - 파이썬 편,김종관,이지스퍼블리싱,0,kor,book,2011
42,Do it! 조코딩의 프로그래밍 입문,조동근_ 김형태,이지스퍼블리싱,0,kor,book,2012
43,바쁜 초등학생을 위한 빠른 입체도형 계산,징검다리 교육연구소,이지스에듀,0,kor,book,2013
44,Do it! SQL 입문,강성욱,이지스퍼블리싱,0,kor,book,2014
45,된다! 네이버 블로그 상위 노출,황윤정,이지스퍼블리싱,0,kor,book,2015
46,Do it! 오토캐드 2023,박한울,이지스퍼블리싱,0,kor,ebook,2017
47,인공지능은 게임을 어떻게 움직이는가?,미야케 요이치로,이지스퍼블리싱,0,kor,book,2010
48,영어동화 100편 세트(전 3권),책아책아_ 김은아,이지스에듀,0,kor,book,2011
49,영어동화 100편: 위인동화,책아책아,이지스에듀,0,kor,book,2018
50,영어동화 100편: 과학동화,책아책아,이지스에듀,0,kor,book,2019
51,영어동화 100편: 명작동화,책아책아_ 김은아,이지스에듀,0,kor,book,2023
